id,Category,_Term,Description
1,Lexicon,90-10,The general premise that 10% of the people in any Community or Organization will account for 90% of its IMPACT.
2,Lexicon,10KH,Short for Ten Thousand Hours.
3,Lexicon,1E,Short for First Estate.
4,Lexicon,1KW,Short for One-Thousand Words.
5,Lexicon,3P (RULE OF),"To be Effective, a Team must be Proximate, Purposeful and Periodic."
6,Lexicon,3S2T,"Strength, Speed, Stamina, Toughness (physical) and Toughness (mental)."
8,Lexicon,3VITE,An invitation to The Nation from a Region or Nomad to Post to a Workout.
9,Lexicon,43 FEET,Building a Leadership Road forty-three feet ahead of the people driving on it.
10,Lexicon,4E,Short for Fourth Estate (The Media).
11,Lexicon,80/1 RULE:,"The Q’s Delegation of every Task that a Team Member can do 80% as well as he can, except that 1% that absolutely and positively must be done by him."
12,Lexicon,AAR,Short for After Action Report
13,Lexicon,ABH,Short for Always Be Headlocking.
14,Lexicon,ACCELERATE,To increase the pace of Movement.
15,Lexicon,ACCELERATING MAN,A man committed to Acceleration.
16,Lexicon,ACCOMPLISHMENT ADRENALINE,Ability to maintain energy throughout a work day due to the extended adrenaline release as a direct result of accomplishing the early morning workout.
17,Lexicon,ACCOUNTABILITY,Submission to Standard through Enforcement and Consequence. (Q2.5).
19,Lexicon,ACCOUNTABILITY.TEAM,Setting and maintaining high Standards within the Team. (Q4.8).
20,Lexicon,ACTUAL PURPOSE,An Organization’s undisclosed but primary goal.
21,Lexicon,ADVANTAGE,A superior circumstance achieved by Movement.
22,Lexicon,ADVERSITY,A challenge to Acceleration created by Obstacles.
23,Lexicon,AFC,Another Freaking Chat
25,Lexicon,AFTER ACTION REPORT,"A brief review of what took place after an Event of some kind (workout, GrowRuck, etc.), particularly regarding leadership displayed by a Q during said event. An essential part of a good LDP. Typically comprised of 3 things that went well and 3 things that could use improvement, but could go much deeper as well. (abbr. AAR)"
26,Lexicon,AKA,Short for Also Known As.
27,Lexicon,ALR,Short for Ask-Listen-Remember.
28,Lexicon,ALSO KNOWN AS,"An alternative name for a man, a place or a thing. Abbr: AKA."
29,Lexicon,ALWAYS BE HEADLOCKING,A Q’s determination to never miss an opportunity to transform a Sad Clown into an FNG. Abbr: ABH.
30,Lexicon,AM,The portion of the day between midnight and noon when most of what is going to get done does get done.
31,Lexicon,AMATEUR,A man ruled by emotional reaction rather proactive Preparedness.
32,Lexicon,ANNOUNCE-A-RAMA,The stage of the COT during which the PAX dispense G2 to the Faithful.
33,Lexicon,AO,Short for Area Of Operations.
34,Lexicon,AO-DULTERY,"When a PAX hard commits to an AO, then posts elsewhere. While considered better than fartsacking altogether, it is still a dubious practice."
35,Lexicon,APOCALYPTO,"Any winding, gloomy and dangerous trail through the woods, best run at an ankle-breaker pace."
36,Lexicon,APPRENTICESHIP,The phase of an LDP within which Positive Habit Transfer takes place. (Q4.3).
37,Lexicon,AREA OF OPERATIONS,The geographical location at which an Event takes place. Abbr: AO.
38,Lexicon,ARGUMENT,The forceful juxtaposition of opposing viewpoints in order to Persuade.
39,Lexicon,ARTICULATED PURPOSE,The primary Advantage sought by a Team or Organization.
40,Lexicon,ARTICULATION,Describing Vision to others. (Q3.5).
41,Lexicon,ASK LISTEN REMEMBER,"The method by which the Q builds Trust with his Group Members. He asks questions, listens to the answer and remembers what he hears. Abbr: ALR."
42,Lexicon,AWOL,When the person who has the flag doesn’t show to post.
43,Lexicon,AYE,I agree.
44,Lexicon,BACK BLAST,A written account of a Workout or Event that the Q Posts to a public forum. Abbr: BB.
45,Lexicon,BALL OF MAN,"Congregation of two or more men in physical contact, usually (but not exclusively) in the prayer that terminates the COT. Abbr: BOM."
46,Lexicon,BAT FLIPPERS,Those PAX prone to demonstrative celebration of their rebellion against Institutional or cultural orthodoxy.
47,Lexicon,BB,Short for BackBlast.
48,Lexicon,BE THE BACON,"An exhortation to another Pax (or to oneself) to improve attitude, to not take things seriously that don't warrant being taken seriously, and in general to approach life in a positive way. It is the belief of The Nation that no one hates Bacon. No one is sad to see Bacon. Even vegetarians and vegans probably like the smell of bacon, and would likely eat tofu bacon (if there is such a thing). Basically, it means to make yourself and your personality as agreeable and as widely loved as Bacon."
49,Lexicon,BEARDED MILLENNIAL,A millennial with a beard.
50,Lexicon,BEAT DOWN,A very difficult Workout delivered by a Q with Zeal.
51,Lexicon,BELIEF SYSTEM,The conviction that there is a supernatural governing force outside of oneself that provides an ordered explanation for our existence and delivers consequences for the violation of that order.
52,Lexicon,BIG BALL,"The Earth. More generally, that which can be seen rather than that which comprises the Super Unknown."
53,Lexicon,BIGFOOT,"A pax that posts to a workout and then leaves before the pic/video.  The other pax who were there swear they saw him, but there's no photographic proof."
54,Lexicon,BLACK MIATA’D,"(v) getting run from an AO by a security guard or EE of said AO. Used in a sentence, “BV, I’ve got some bad news, we got Black Miata’d at Lord Kensington today by a couple of Paul Blartts…”"
55,Lexicon,BLACK SWAN,Thriving in the chaos of the unpredictable.
56,Lexicon,BLACK TAHOE,Removing a man from a position in which he cannot Prosper.
57,Lexicon,BLACKWATER,A Workout so tough it leaves the PAX standing there looking backward half-unconscious from the Pain.
58,Lexicon,BLADE,A man who is Sharpened by another man within a Whetstone relationship.
59,Lexicon,BLIND SPOT,An area of a man’s life that he cannot protect without help.
60,Lexicon,BLOOMBERG,An attempt by Governance to initiate Movement by fiat.
61,Lexicon,BLUE PILL,The choice of the easy-false life of a Mascot over the hard-true life of the HIM.
62,Lexicon,BLUF,Short for Bottom Line Up Front.
63,Lexicon,BOAT BURNING,A Q’s demonstration of his Commitment to Living Third. EG: a wedding ceremony.
64,Lexicon,"BOBBY CREMINS (as in, to pull one)","When a man Posts to one Workout, but leaves after Startex to go to a different AO. Also, a non-Workout LIFO initiated by the M or CBD."
65,Lexicon,Bodice Ripper,Anything outside of a PAX (with another PAX or an inanimate object/surface) that causes his shirt or other article of clothing to be ripped or otherwise destroyed during a workout.
66,Lexicon,BOM,Short for Ball Of Man.
67,Lexicon,BOOM,The sound a new Workout makes when it is Planted.
68,Lexicon,BOTTOM LINE UP FRONT,A Q’s manner of speaking and writing that makes it very clear very early what his central point is. Abbr: BLUF.
69,Lexicon,BRICK,A singular positive Habit that is Advantageous to the individual or others.
70,Lexicon,BRICKLAYING,The joining of Bricks into a Routine.
71,Lexicon,BRICKS WITHOUT STRAW,Calling on a man to lead without providing the training necessary to form positive Habits. Abbr: BWS
72,Lexicon,BRODY,The recognition that you are going to need a bigger boat.
73,Lexicon,BROTHER,A fellow man.
